instrument,source,timestamp,success,http_status,error_type,error_message,value,unit,observation_time,instrument_type,selected,comparison_source,difference
JGB_2Y,MOF,2026-08-14T13:05:13+00:00,False,,schema_change,"expected date/value columns; got ['\x8d\x91\x8dÂ\x8bà\x97\x98\x8fî\x95ñ (\x97ß\x98a8\x94N8\x8c\x8e)', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', '(\x92P\x88Ê : %)']",,,,government_bond_yield_2y_percent,False,,
JGB_2Y,Yahoo Finance,2026-08-14T13:05:13+00:00,False,,empty_data,Yahoo returned no closes,,,,government_bond_yield_2y_percent,False,,
JGB_10Y,MOF,2026-08-14T13:05:14+00:00,False,,schema_change,"expected date/value columns; got ['\x8d\x91\x8dÂ\x8bà\x97\x98\x8fî\x95ñ (\x97ß\x98a8\x94N8\x8c\x8e)', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', '(\x92P\x88Ê : %)']",,,,government_bond_yield_10y_percent,False,,
JGB_10Y,Yahoo Finance,2026-08-14T13:05:14+00:00,False,,empty_data,Yahoo returned no closes,,,,government_bond_yield_10y_percent,False,,
JGB_30Y,MOF,2026-08-14T13:05:14+00:00,False,,schema_change,"expected date/value columns; got ['\x8d\x91\x8dÂ\x8bà\x97\x98\x8fî\x95ñ (\x97ß\x98a8\x94N8\x8c\x8e)', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', '(\x92P\x88Ê : %)']",,,,government_bond_yield_30y_percent,False,,
JGB_30Y,Yahoo Finance,2026-08-14T13:05:15+00:00,False,,empty_data,Yahoo returned no closes,,,,government_bond_yield_30y_percent,False,,
NIKKEI_FUTURES,Yahoo Finance,2026-08-14T13:38:06+00:00,True,,,,68815.0,index_points,2026-08-14 00:00:00,equity_index_futures,True,,
TOPIX,JPX,2026-08-14T13:38:06+00:00,False,404,http_error,HTTP 404,,,,equity_price_index_spot,False,,
TOPIX,Yahoo Finance,2026-08-14T13:38:07+00:00,False,,empty_data,Yahoo returned no closes,,,,equity_price_index_spot,False,,
SP500,Yahoo Finance,2026-08-14T13:38:07+00:00,True,,,,7800.60009765625,index_points,2026-08-14 00:00:00,equity_price_index_spot,True,,
NASDAQ,Yahoo Finance,2026-08-14T13:38:08+00:00,True,,,,26812.111328125,index_points,2026-08-14 00:00:00,equity_price_index_spot,True,,
